13787,CIENCIAS SOCIALES,CAMBIO Y DESARROLLO SOCIAL,POLÍTICA SOCIAL,PUEBLA
13955,MEDICINA Y CIENCIAS DE LA SALUD,NEUROCIENCIAS,OTRAS,PUEBLA
14072,BIOLOGÍA Y QUÍMICA,MICROBIOLOGÍA,BACTERIOLOGÍA,PUEBLA
14135,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,NANOCIENCIAS,PUEBLA
14141,CIENCIAS SOCIALES,SOCIOLOGIA GENERAL,TEORIA,PUEBLA
14307,CIENCIAS SOCIALES,VIDA POLÍTICA,ELECCIONES,PUEBLA
14353,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ANÁLISIS Y ANÁLISIS FUNCIONAL,ECUACIONES DIFERENCIALES EN DERIVADAS PARCIALES,PUEBLA
14469,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,CIENCIAS DEL ESPACIO,SATÉLITES ARTIFICIALES,PUEBLA
14478,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ANALISIS Y ANALISIS FUNCIONAL,TEORIA DE LA APROXIMACION,PUEBLA
14480,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,INVESTIGACION OPERATIVA,PROGRAMACION NO LINEAL,EXCEPTUADO CONFORME AL ARTÍCULO 28 FRACCIÓN I DEL REGLAMENTO SNII
14533,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,OTRAS,OTRAS,PUEBLA
14598,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÓPTICA,ÓPTICA FÍSICA,PUEBLA
14713,CIENCIAS SOCIALES,SOCIOLOGÍA GENERAL,TEORÍA,PUEBLA
14946,BIOLOGÍA Y QUÍMICA,QUÍMICA ORGÁNICA,SÍNTESIS QUÍMICA,PUEBLA
15085,BIOLOGÍA Y QUÍMICA,ENFERMEDADES INFECCIOSAS,OTROS,PUEBLA
15102,CIENCIAS DE LA CONDUCTA Y LA EDUCACIÓN,TEORÍA Y MÉTODOS EDUCATIVOS,PEDAGOGÍA EXPERIMENTAL,PUEBLA
15245,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA MOLECULAR,ESTRUCTURA MOLECULAR,PUEBLA
15375,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA TEÓRICA,OTRAS,PUEBLA
15467,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,TECNOLOGÍA DE MATERIALES,PROPIEDADES DE LOS MATERIALES,PUEBLA
15556,BIOLOGÍA Y QUÍMICA,NEUROCIENCIAS,NEUROFISIOLOGÍA,PUEBLA
15692,HUMANIDADES,OTRAS ESPECIALIDADES PEDAGÓGICAS,OTRAS,PUEBLA
15932,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,TECNOLOGIA E INGENIERIA AERONAUTICA,ESTABILIDAD Y CONTROL,PUEBLA
15963,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,TOPOLOGÍA,TOPOLOGÍA GENERAL,PUEBLA
15971,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA ELECTRÓNICA,DISPOSITIVOS SEMICONDUCTORES,PUEBLA
15991,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA QUÍMICA,CIENCIA DE MATERIALES,PUEBLA
16034,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA TEÓRICA,CAMPOS,PUEBLA
16043,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ANALISIS Y ANALISIS FUNCIONAL,TEORIA DE LA APROXIMACION,PUEBLA
16342,BIOLOGÍA Y QUÍMICA,QUÍMICA ORGÁNICA,COMPUESTOS HETEROCÍCLICOS,PUEBLA
16517,MEDICINA Y CIENCIAS DE LA SALUD,"ENFERMEDADES INFECCIOSAS, BACTERIOLOGÍA CLÍNICA, VIROLOGÍA CLÍNICA","ENFERMEDADES INFECCIOSAS, BACTERIOLOGÍA CLÍNICA, VIROLOGÍA CLÍNICA",PUEBLA
16774,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,FÍSICA DEL ESTADO SÓLIDO,PUEBLA
18939,HUMANIDADES,HISTORIA POR ESPECIALIDADES,HISTORIA SOCIAL,PUEBLA
19053,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÓPTICA,OTRAS,PUEBLA
19173,MEDICINA Y CIENCIAS DE LA SALUD,CIENCIAS CLÍNICAS,MICROBIOLOGÍA CLÍNICA,PUEBLA
19210,HUMANIDADES,OTRAS ESPECIALIDADES EN MATERIA DE FILOSOFIA,FILOSOFIA CONTEMPORANEA,PUEBLA
19479,BIOLOGÍA Y QUÍMICA,QUÍMICA GENERAL,OTRAS,PUEBLA
19531,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA MOLECULAR,FISICA DE LAS MACROMOLECULAS,PUEBLA
19756,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÓPTICA,ÓPTICA NO LINEAL,PUEBLA
19764,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,QUÍMICA FÍSICA,ESPECTROSCOPÍA MOLECULAR,PUEBLA
19771,CIENCIAS DE LA CONDUCTA Y LA EDUCACIÓN,ORGANIZACIÓN Y PLANIFICACIÓN DE LA EDUCACIÓN,FORMACIÓN PROFESIONAL,PUEBLA
20025,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,PROPIEDADES ÓPTICAS,PUEBLA
20027,MEDICINA Y CIENCIAS DE LA SALUD,ENFERMEDADES DE LA NUTRICIÓN Y ENDOCRINOLOGÍA,ENFERMEDADES DE LA NUTRICIÓN Y ENDOCRINOLOGÍA,PUEBLA
20028,CIENCIAS SOCIALES,GEOGRAFÍA ECONÓMICA,DESARROLLO REGIONAL,PUEBLA
20397,HUMANIDADES,ANTROPOLOGIA SOCIAL,OTROS,EXCEPTUADO CONFORME AL ARTÍCULO 28 FRACCIÓN I DEL REGLAMENTO SNII
20401,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA TEÓRICA,OTRAS,PUEBLA
20410,BIOLOGÍA Y QUÍMICA,QUÍMICA ORGÁNICA,COMPUESTOS HETEROCÍCLICOS,PUEBLA
20452,HUMANIDADES,ANTROPOLOGÍA FILOSÓFICA,ESTÉTICA,PUEBLA
20768,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE ALTAS ENERGÍAS,FÍSICA TEÓRICA ALTAS ENERGÍAS,PUEBLA
21002,MEDICINA Y CIENCIAS DE LA SALUD,BIOQUÍMICA,FARMACOLOGÍA MOLECULAR,PUEBLA
21030,HUMANIDADES,ANTROPOLOGÍA SOCIAL,OTRAS,PUEBLA
21148,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA DEL ESTADO SOLIDO,FISICA DEL ESTADO SOLIDO,PUEBLA
21161,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA TEÓRICA,GRAVITACIÓN,PUEBLA
21180,BIOLOGÍA Y QUÍMICA,FISIOLOGÍA HUMANA,FISIOLOGÍA HUMANA,PUEBLA
21622,BIOLOGÍA Y QUÍMICA,BIOLOGÍA MOLECULAR,BIOLOGÍA MOLECULAR DE MICROORGANISMOS,PUEBLA
21741,BIOLOGÍA Y QUÍMICA,QUÍMICA FÍSICA,CRISTALOGRAFÍA,PUEBLA
21952,"CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",BIOTECNOLOGÍA ENZIMÁTICA Y BIOCATÁLISIS,OTRAS,PUEBLA
22044,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,SEMICONDUCTORES,PUEBLA
22133,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE ALTAS ENERGÍAS,OTRAS,PUEBLA
25137,BIOLOGÍA Y QUÍMICA,ECOLOGÍA,CONSERVACIÓN ECOLÓGICA,PUEBLA
25340,HUMANIDADES,HISTORIA POR ESPECIALIDADES,HISTORIA DEL ARTE,PUEBLA
